,date,funny,business_id,text,user_id,useful,cool,stars,review_id
294070,2017-04-20,0,Ad_-9GuDFTEjAsSQ3PXLOw,"My doctor's office is just across the parking lot from this Subway, so whenever I get my physical, I get a sandwich afterward, as a treat. Have been doing this for the past 4 years. This has always been a great place to grab a sandwich to-go and take it home. Generally, this is about 9:30 or 10:00 am, soon after they open. I went Tuesday morning and got one of the worst sandwiches I have ever had from any Subway. The bread was absolutely dry and stale and crumbled to the touch. The lettuce tasted as though it had been cut days before and was slightly gummy in texture... I almost gagged when I put it in my mouth. The meat and cheese were okay, but couldn't make up for the bread and lettuce, which ruined my appetite. I ended up just throwing the entire footlong in the trash. Yeah, it was that bad. The service from the young woman could not have been more unfriendly and I felt as though I was bothering her, though I was the only customer. Obviously, there has been a change in ownership or management. I won't ever go back to this store.... ever.",EruLYDd5XMWX--aT2l3MTQ,2,0,1,fv1qbC9caB_QVd6pUlgDxw
900745,2016-08-29,0,Ad_-9GuDFTEjAsSQ3PXLOw,Went in around 8:30p tonight (8/28) I received excellent customer and food service found the person working to be pleasant even though it was a slow night thoroughly enjoyed the sandwich I got and the conversation I had highly recommend the customer service on a Sunday night makes for a much Pleasant start to the coming week,loABKxYed5IBdU4mkA8rmg,0,0,5,ykbnLh0slNwKXYFIGG3hVA
1552953,2018-03-14,0,Ad_-9GuDFTEjAsSQ3PXLOw,If I could give it a -0. I would. Worst place! Don't go. They never have the food you want! Not fresh! One of the employees aggravated me. Been races. For no reason! Horrible employees! Slow! Always training employees due for the manager hiring the worst people!! Don't go! I don't recommend!,q-cVtRpG8alKgdjgs3PDUg,1,0,1,cYJtJLzRlucCIYD8YeAtBg
2379529,2011-12-18,0,Ad_-9GuDFTEjAsSQ3PXLOw,"I don't know why I don't think about Subway more often when I'm trying to think of where to pick up a quick, inexpensive meal. I have lived in the area for about 6 years, and only just recently tried this Subway. My mom told me Subway was running a special on $2 cold cut or meatball subs. I've always liked their meatball subs, so we decided to give it a try. I like that Subway now has a nice variety of breads to choose from. I got the Italian cheese variety. It paired nicely with the meatballs. I do have to say that the meatballs weren't quite as good as I remembered. However, it was still a good, affordable meal. The place was clean and the staff friendly.",wc4XAA5pC3b1UgooSypHwA,0,0,3,3AnEKAn4XVCkGPhfSIphoA
3031368,2016-06-10,0,Ad_-9GuDFTEjAsSQ3PXLOw,"I placed an order online for this store. The menu options included soup. I ordered 3 sandwiches and a cup of soup and paid for the order in full. When I went to pick up my order I was told that no Subway offers soup in summer. BUT....the store cannot credit me for the soup that they couldn't provide. I was told to call corporate. I called corporate and was on hold for 30+ minutes waiting to speak to someone about my refund. While I waited my hot meatball sub turned into a cold soggy mess that I ultimately gave up on. Now, corporate says that the owner of the franchise is responsible for rectifying the problem but the store told me that they never touch my card so it appears that NO ONE has a clue how to refund my money. The employees in the store couldn't offer a gift card (because corporate handles the Internet transaction), they offered me cookies. If I wanted cookies I would have ordered them.

I am not impressed at all. Definitely will not order online The website says that online ordering makes your meal more convenient but now they have my money for an item that they could not provide. It""s not the amount as much as the obvious lack of customer service at all levels. Now I have to wait for a call from the owner.",CBIJf_v41QOftjt_DG-Ldg,2,0,2,qjX1OtTzNPTK-wqE8ClXGA
3283260,2011-06-13,0,Ad_-9GuDFTEjAsSQ3PXLOw,"I actually swore off subway for awhile after I moved here from GA. Not because I didn't like subway anymore, but because on the 3 day drive here,  I think we ate subway for nearly EVERY meal. Apparently truckers LOVE their footlongs. :P By the time we got here, I was absolutely sick of subs, and fast food in general, really. 
Finally the craving for a tasty sandwich came back, and off to subway I go. Tastes just as good as I remember. This location was clean, the service good, the vegetables fresh, and they even had spinach, which is something that you don't find as often back home. Perhaps all the subways here have spinach, but I wouldn't know. 
Only thing that I didn't like, was that they didn't have sliced Monterrey cheddar, only shredded. Weird.",YJsjA7msCI4-Dh8_pDcSYQ,0,0,4,zSXVUIPwBGnslkj87OeZjA
3517905,2012-08-12,0,Ad_-9GuDFTEjAsSQ3PXLOw,"This is the best Subway location in Las Vegas. The staff is always friendly and right there waiting to help you and the line really moves along quick. Don't be surprised if you see a long line upon entering but like I said it moves quick

The veggies are so fresh. 

I asked for extra cheese twice and didn't even get charged. The store is so clean you could literally eat off the floor.

There isn't much more to say but try this location!",Fv0e9RIV9jw5TX3ctA1WbA,5,3,5,eu7U8lNhViZY6EMCKWRFGw
4428406,2017-06-25,1,Ad_-9GuDFTEjAsSQ3PXLOw,"Located in the Albertsons shopping center off of Buffalo in Summerlin. Parking has never been and issue for me here. 

Typical Subway set up. Nothing different. 

This is my new Subway location. The young man that works in here was excellent and made a great sandwich! He was helpful in making recommendations and really took his time with me. Much appreciated. 

Always good to see young people providing great service.",2_JZcBO_KLAgxDQosHnt5Q,3,3,5,yPZtTDbcOGBKFWNDjDTJuQ
5122771,2017-11-25,0,Ad_-9GuDFTEjAsSQ3PXLOw,"Subway is subway.  You always get the same thing. If you want subway, you know what you will be getting and it will taste exactly like what you expect.  This location was open late, which worked great for us. The 2 guys working there were very friendly.",_1nBbzvn9pIng-CqNziSzA,0,1,4,Dp6r9-Um0QZO6JJ5AZ8KPA
5180003,2017-05-20,0,Ad_-9GuDFTEjAsSQ3PXLOw,"Went here at 330p on Friday for the featured sandwich ""Italian hero"". Was told by the clerk they were out of most of the meats needed. On a Friday afternoon near dinner time. Either this,store is poorly run or they don't want to make sandwiches with multiple ingredients. Went to another subway a few minutes away and they gladly nads my sandwich. Don't waste your time with this store.",H7bJDtGzhdg1fsmBL4KZWg,1,1,1,AK_PY-QBhfYqEpnDIrhCKw
